tripduration,starttime,stoptime,start station id,start station name,start station latitude,start station longitude,end station id,end station name,end station latitude,end station longitude,bikeid,usertype,birth year,gender
278,30:58.3,35:37.1,3214,Essex Light Rail,40.7127742,-74.0364857,3186,Grove St PATH,40.71958612,-74.04311746,42423,Subscriber,1995,1
619,33:32.9,43:52.6,3199,Newport Pkwy,40.7287448,-74.0321082,3273,Manila & 1st,40.72165072,-74.04288411,42406,Subscriber,1968,1
195,34:10.5,37:25.8,3211,Newark Ave,40.72152515,-74.04630454,3205,JC Medical Center,40.71653978,-74.04963791,42337,Subscriber,1975,1
454,34:40.1,42:15.0,3213,Van Vorst Park,40.71848892,-74.04772663,3792,Columbus Dr at Exchange Pl,40.71687,-74.03281,42526,Subscriber,1986,1
1041,34:59.3,52:20.9,3276,Marin Light Rail,40.71458404,-74.04281706,3209,Brunswick St,40.7241765,-74.0506564,42466,Subscriber,1971,2
205,36:13.0,39:38.6,3213,Van Vorst Park,40.71848892,-74.04772663,3211,Newark Ave,40.72152515,-74.04630454,42544,Subscriber,1972,1
118,38:12.1,40:11.0,3792,Columbus Dr at Exchange Pl,40.71687,-74.03281,3639,Harborside,40.7192517,-74.034234,42158,Subscriber,1997,1
387,40:34.6,47:02.1,3186,Grove St PATH,40.71958612,-74.04311746,3269,Brunswick & 6th,40.72601173,-74.05038893,42423,Subscriber,1959,1
898,43:50.0,58:49.0,3187,Warren St,40.7211236,-74.03805095,3212,Christ Hospital,40.73478582,-74.05044364,42297,Subscriber,1984,1
315,44:14.9,49:30.9,3269,Brunswick & 6th,40.72601173,-74.05038893,3186,Grove St PATH,40.71958612,-74.04311746,42490,Subscriber,1972,2
865,46:04.6,00:30.1,3199,Newport Pkwy,40.7287448,-74.0321082,3198,Heights Elevator,40.74871595,-74.0404433,42118,Subscriber,1994,1
498,46:20.0,54:38.6,3483,Montgomery St,40.71942,-74.05099,3275,Columbus Drive,40.7183552,-74.03891444,42504,Subscriber,1992,2
537,48:39.9,57:37.2,3272,Jersey & 3rd,40.72333159,-74.04595256,3272,Jersey & 3rd,40.72333159,-74.04595256,42543,Subscriber,1989,1
194,51:40.6,54:55.0,3187,Warren St,40.7211236,-74.03805095,3202,Newport PATH,40.7272235,-74.0337589,42299,Subscriber,1985,1
52738,52:47.9,31:46.0,3281,Leonard Gordon Park,40.74590997,-74.05727148,3281,Leonard Gordon Park,40.74590997,-74.05727148,42153,Subscriber,1972,1
63,52:54.4,53:58.2,3272,Jersey & 3rd,40.72333159,-74.04595256,3211,Newark Ave,40.72152515,-74.04630454,42205,Subscriber,1995,1
291,54:03.9,58:55.7,3483,Montgomery St,40.71942,-74.05099,3186,Grove St PATH,40.71958612,-74.04311746,42263,Subscriber,1982,1
213,54:48.0,58:21.0,3186,Grove St PATH,40.71958612,-74.04311746,3205,JC Medical Center,40.71653978,-74.04963791,42490,Subscriber,1988,1
374,56:21.8,02:36.4,3185,City Hall,40.7177325,-74.043845,3214,Essex Light Rail,40.7127742,-74.0364857,42445,Subscriber,1970,1
665,57:11.4,08:16.6,3276,Marin Light Rail,40.71458404,-74.04281706,3677,Glenwood Ave,40.72755147,-74.07106072,42361,Subscriber,1989,1
255,58:50.1,03:05.3,3273,Manila & 1st,40.72165072,-74.04288411,3276,Marin Light Rail,40.71458404,-74.04281706,42166,Subscriber,1973,1
147,01:58.8,04:26.2,3186,Grove St PATH,40.71958612,-74.04311746,3272,Jersey & 3rd,40.72333159,-74.04595256,42263,Subscriber,1983,1
259,02:06.0,06:25.9,3269,Brunswick & 6th,40.72601173,-74.05038893,3211,Newark Ave,40.72152515,-74.04630454,42124,Subscriber,1992,1
400,09:37.7,16:18.4,3198,Heights Elevator,40.74871595,-74.0404433,3207,Oakland Ave,40.7376037,-74.0524783,42118,Subscriber,1994,1
231,10:24.6,14:16.2,3639,Harborside,40.7192517,-74.034234,3202,Newport PATH,40.7272235,-74.0337589,42492,Subscriber,1973,1
176,11:10.5,14:07.0,3792,Columbus Dr at Exchange Pl,40.71687,-74.03281,3639,Harborside,40.7192517,-74.034234,42526,Subscriber,1962,2
600,12:07.9,22:08.8,3269,Brunswick & 6th,40.72601173,-74.05038893,3276,Marin Light Rail,40.71458404,-74.04281706,42515,Subscriber,1983,2
278,15:33.4,20:11.7,3199,Newport Pkwy,40.7287448,-74.0321082,3638,Washington St,40.7242941,-74.0354826,42352,Subscriber,1991,1
193,18:14.1,21:28.1,3272,Jersey & 3rd,40.72333159,-74.04595256,3269,Brunswick & 6th,40.72601173,-74.05038893,42428,Subscriber,1992,1
